"func","desc"
"gcd","Greatest common divisor"
"gcf","Current figure handle"
"gcmr","Get current mapreducer configuration"
"gco","Handle of current object"
"ge","Determine greater than or equal to"
"genpath","Generate path name"
"genvarname","Construct valid variable name from string"
"get","Query timeseries object property values"
"get","Query graphics object properties"
"get","Query property values for audioplayer object"
"get","Query property values for audiorecorder object"
"get","Get property value from interface, or display properties"
"get (RandStream)","Random stream properties"
"get (serial)","Serial port object properties"
"get (tscollection)","Query tscollection object propertyvalues"
"getabstime","Extract date-string time vector into cell array"
"getabstime (tscollection)","Extract date-string time vector into cell array"
"getAColParms","ASCII table information"
"getappdata","Retrieve application-defined data"
"getaudiodata","Store recorded audio signal in numeric array"
"getBColParms","Binary table information"
"GetCharArray","Character array from Automation server"
"getColName","Table column name"
"getColType","Scaled column data type, repeat value, width"
"getConstantValue","Numeric value of named constant"
"getdatasamples","Returns subset of time series samples using subscriptedindex array"
"getdatasamplesize","Size of data sample in timeseries object"
"getenv","Environment variable"
"getEqColType","Column data type, repeat value, width"
"getfield","Field of structure array"
"getFileFormats","File formats that VideoReader supports"
"getframe","Capture axes or figure as movie frame"
"GetFullMatrix","Matrix from Automation server workspace"
"getHdrSpace","Number of keywords in header"
"getHDUnum","Number of current HDU in FITS file"
"getHDUtype","Type of current HDU"
"getImgSize","Size of image"
"getImgType","Data type of image"
"getinterpmethod","Interpolation method for timeseries object"
"getnext","Get next value from ValueIterator"
"getNumCols","Number of columns in table"
"getNumHDUs","Total number of HDUs in FITS file"
"getNumInputs","Number of inputs required to call the System object"
"getNumOutputs","Number of outputs of from calling the System object"
"getNumRows","Number of rows in table"
"getOpenFiles","List of open FITS files"
"getpixelposition","Get component position in pixels"
"getpoints","Return points that define animated line"
"getpref","Preference"
"getProfiles","Profiles and file formats that VideoWriter supports"
"getqualitydesc","Data quality descriptions"
"getReport","Get error message for exception"
"getsamples","Subset of time series samples using subscripted indexarray"
"getsampleusingtime","Extract data samples into new timeseries object"
"getsampleusingtime (tscollection)","Extract data samples into new tscollection object"
"gettimeseriesnames","Cell array of names of timeseries objectsin tscollection object"
"gettsafteratevent","New timeseries object with samplesoccurring at or after event"
"gettsafterevent","New timeseries object with samplesoccurring after event"
"gettsatevent","New timeseries object with samplesoccurring at event"
"gettsbeforeatevent","New timeseries object with samplesoccurring before or at event"
"gettsbeforeevent","New timeseries object with samplesoccurring before event"
"gettsbetweenevents","New timeseries object with samplesoccurring between events"
"GetVariable","Data from variable in Automation server workspace"
"getvaropts","Get variable import options"
"getVersion","Revision number of the CFITSIO library"
"GetWorkspaceData","Data from Automation server workspace"
"ginput","Graphical input from mouse or cursor"
"global","Declare variables as global"
"gmres","Generalized minimum residual method (with restarts)"
"gobjects","Initialize array for graphics objects"
"gplot","Plot nodes and links representing adjacency matrix"
"grabcode","Extract MATLAB code from file published to HTML"
"gradient","Numerical gradient"
"graph","Create undirected graph"
"graph","Graph with undirected edges"
"GraphPlot","Graph plot for directed and undirected graphs"
"gray","Gray colormap array"
"graymon","Set default figure properties for grayscale monitors"
"grid","Display or hide axes grid lines"
"griddata","Interpolate 2-D or 3-D scattered data"
"griddatan","Interpolate N-D scattered data"
"griddedInterpolant","Gridded data interpolation"
"groot","Graphics root object"
"gsvd","Generalized singular value decomposition"
"gt","Determine greater than"
"gtext","Add text to figure using mouse"
"guidata","Store or retrieve UI data"
"guide","Open GUIDE"
"guihandles","Create structure containing all child objects of Figure"
"gunzip","Uncompress GNU zip files"
"gzip","Compress files into GNU zip files"
"H5.close","Close HDF5 library"
"H5.garbage_collect","Free unused memory in HDF5 library"
"H5.get_libversion","Version of HDF5 library"
"H5.open","Open HDF5 library"
"H5.set_free_list_limits","Set size limits on free lists"
"H5A.close","Close specified attribute"
"H5A.create","Create attribute"
"H5A.delete","Delete attribute"
"H5A.get_info","Information about attribute"
"H5A.get_name","Attribute name"
"H5A.get_space","Copy of attribute data space"
"H5A.get_type","Copy of attribute data type"
"H5A.iterate","Execute function for attributes attached to object"
"H5A.open","Open attribute"
"H5A.open_by_idx","Open attribute specified by index"
"H5A.open_by_name","Open attribute specified by name"
"H5A.read","Read attribute"
"H5A.write","Write attribute"
"h5create","Create HDF5 data set"
"H5D.close","Close dataset"
"H5D.create","Create new dataset"
"H5D.get_access_plist","Copy of dataset access property list"
"H5D.get_create_plist","Copy of dataset creation property list"
"H5D.get_offset","Location of dataset in file"
"H5D.get_space","Copy of dataset data space"
"H5D.get_space_status","Determine if space is allocated"
"H5D.get_storage_size","Determine required storage size"
"H5D.get_type","Copy of datatype"
"H5D.open","Open specified dataset"
"H5D.read","Read data from HDF5 dataset"
"H5D.set_extent","Change size of dataset dimensions"
"H5D.vlen_get_buf_size","Determine variable length storage requirements"
"H5D.write","Write data to HDF5 dataset"
"h5disp","Display contents of HDF5 file"
"H5DS.attach_scale","Attach dimension scale to specific dataset dimension"
"H5DS.detach_scale","Detach dimension scale from specific dataset dimension"
"H5DS.get_label","Retrieve label from specific dataset dimension"
"H5DS.get_num_scales","Number of scales attached to dataset dimension"
"H5DS.get_scale_name","Name of dimension scale"
"H5DS.is_scale","Determine if dataset is a dimension scale"
"H5DS.iterate_scales","Iterate on scales attached to dataset dimension"
"H5DS.set_label","Set label for dataset dimension"
"H5DS.set_scale","Convert dataset to dimension scale"
"H5E.clear","Clear error stack"
"H5E.get_major","Description of major error number"
"H5E.get_minor","Description of minor error number"
"H5E.walk","Walk error stack"
"H5F.close","Close HDF5 file"
"H5F.create","Create HDF5 file"
"H5F.flush","Flush buffers to disk"
"H5F.get_access_plist","File access property list"
"H5F.get_create_plist","File creation property list"
"H5F.get_filesize","Size of HDF5 file"
"H5F.get_freespace","Amount of free space in file"
"H5F.get_info","Global information about file"
"H5F.get_mdc_config","Metadata cache configuration"
"H5F.get_mdc_hit_rate","Metadata cache hit-rate"
"H5F.get_mdc_size","Metadata cache size data"
"H5F.get_name","Name of HDF5 file"
"H5F.get_obj_count","Number of open objects in HDF5 file"
"H5F.get_obj_ids","List of open HDF5 file objects"
"H5F.is_hdf5","Determine if file is HDF5"
"H5F.mount","Mount HDF5 file onto specified location"
"H5F.open","Open HDF5 file"
"H5F.reopen","Reopen HDF5 file"
"H5F.set_mdc_config","Configure HDF5 file metadata cache"
"H5F.unmount","Unmount file or group from mount point"
"H5G.close","Close group"
"H5G.create","Create group"
"H5G.get_info","Information about group"
"H5G.open","Open specified group"
"H5I.dec_ref","Decrement reference count"
"H5I.get_file_id","File identifier for specified object"
"H5I.get_name","Name of object"
"H5I.get_ref","Reference count of object"
"H5I.get_type","Type of object"
"H5I.inc_ref","Increment reference count of specified object"
"H5I.is_valid","Determine if specified identifier is valid"
"h5info","Return information about HDF5 file"
"H5L.copy","Copy link from source location to destination location"
"H5L.create_external","Create soft link to external object"
"H5L.create_hard","Create hard link"
"H5L.create_soft","Create soft link"
"H5L.delete","Remove link"
"H5L.exists","Determine if link exists"
"H5L.get_info","Information about link"
"H5L.get_name_by_idx","Information about link specified by index"
"H5L.get_val","Value of symbolic link"
"H5L.iterate","Iterate over links"
"H5L.iterate_by_name","Iterate through links in group specified by name"
"H5L.move","Rename link"
"H5L.visit","Recursively iterate through links in group specified bygroup identifier"
"H5L.visit_by_name","Recursively iterate through links in group specified bylocation and group name"
"H5ML.compare_values","Numerically compare two HDF5 values"
"H5ML.get_constant_names","Constants known by HDF5 library"
"H5ML.get_constant_value","Value corresponding to a string"
"H5ML.get_function_names","Functions provided by HDF5 library"
"H5ML.get_mem_datatype","Data type for dataset ID"
"H5ML.hoffset","Determine the offset of a field within a structure"
"H5ML.sizeof","Return the size (in bytes) of a variable as stored ondisk"
"H5O.close","Close object"
"H5O.copy","Copy object from source location to destination location"
"H5O.get_comment","Get comment for object specified by object identifier"
"H5O.get_comment_by_name","Get comment for object specified by location and objectname"
"H5O.get_info","Object metadata"
"H5O.link","Create hard link to specified object"
"H5O.open","Open specified object"
"H5O.open_by_idx","Open object specified by index"
"H5O.set_comment","Set comment for object specified by object identifier"
"H5O.set_comment_by_name","Set comment for object specified by location and objectname"
"H5O.visit","Visit objects specified by object identifier"
"H5O.visit_by_name","Visit objects specified by location and object name"
"H5P.all_filters_avail","Determine availability of all filters"
"H5P.close","Close property list"
"H5P.close_class","Close property list class"
"H5P.copy","Copy of property list"
"H5P.create","Create new property list"
"H5P.equal","Determine equality of property lists"
"H5P.exist","Determine if specified property exists in property list"
"H5P.fill_value_defined","Determine if fill value is defined"
"H5P.get","Value of specified property in property list"
"H5P.get_alignment","Retrieve alignment properties"
"H5P.get_alloc_time","Return timing of storage space allocation"
"H5P.get_attr_creation_order","Return tracking order and indexing settings"
"H5P.get_attr_phase_change","Retrieve attribute phase change thresholds"
"H5P.get_btree_ratios","B-tree split ratios"
"H5P.get_char_encoding","Return character encoding"
"H5P.get_chunk","Return size of chunks"
"H5P.get_chunk_cache","Raw data chunk cache parameters"
"H5P.get_class","Property list class"
"H5P.get_class_name","Name of property list class"
"H5P.get_class_parent","Identifier for parent class"
"H5P.get_copy_object","Return properties to be used when object is copied"
"H5P.get_create_intermediate_group","Determine creation of intermediate groups"
"H5P.get_driver","Low-level file driver"
"H5P.get_edc_check","Determine if error detection is enabled"
"H5P.get_external","Return information about external file"
"H5P.get_external_count","Return count of external files"
"H5P.get_family_offset","Offset for family file driver"
"H5P.get_fapl_core","Information about core file driver properties"
"H5P.get_fapl_family","File access property list information"
"H5P.get_fapl_multi","Information about multifile access property list"
"H5P.get_fclose_degree","File close degree"
"H5P.get_fill_time","Return time when fill values are written to dataset"
"H5P.get_fill_value","Return dataset fill value"
"H5P.get_filter","Return information about filter in pipeline"
"H5P.get_filter_by_id","Return information about specified filter"
"H5P.get_gc_references","Garbage collection references setting"
"H5P.get_hyper_vector_size","Number of I/O vectors"
"H5P.get_istore_k","Return 1/2 rank of indexed storage B-tree"
"H5P.get_layout","Determine layout of raw data for dataset"
"H5P.get_libver_bounds","Library version bounds settings"
"H5P.get_link_creation_order","Query if link creation order is tracked"
"H5P.get_link_phase_change","Query settings for conversion between groups"
"H5P.get_mdc_config","Metadata cache configuration"
"H5P.get_meta_block_size","Metadata block size setting"
"H5P.get_multi_type","Type of data property for MULTI driver"
"H5P.get_nfilters","Return number of filters in pipeline"
"H5P.get_nprops","Query number of properties in property list or class"
"H5P.get_sieve_buf_size","Maximum data sieve buffer size"
"H5P.get_size","Query size of property value in bytes"
"H5P.get_sizes","Return size of offsets and lengths"
"H5P.get_small_data_block_size","Small data block size setting"
"H5P.get_sym_k","Return size of B-tree 1/2 rank and leaf node 1/2 size"
"H5P.get_userblock","Return size of user block"
"H5P.get_version","Return version information for file creation propertylist"
"H5P.isa_class","Determine if property list is member of class"
"H5P.iterate","Iterate over properties in property list"
"H5P.modify_filter","Modify filter in pipeline"
"H5P.remove_filter","Remove filter from property list"
"H5P.set","Set property list value"
"H5P.set_alignment","Set alignment properties for file access property list"
"H5P.set_alloc_time","Set timing for storage space allocation"
"H5P.set_attr_creation_order","Set tracking of attribute creation order"
"H5P.set_attr_phase_change","Set attribute storage phase change thresholds"
"H5P.set_btree_ratios","Set B-tree split ratios for dataset transfer"
"H5P.set_char_encoding","Set character encoding used to encode strings"
"H5P.set_chunk","Set chunk size"
"H5P.set_chunk_cache","Set raw data chunk cache parameters"
"H5P.set_copy_object","Set properties to be used when objects are copied"
"H5P.set_create_intermediate_group","Set creation of intermediate groups"
"H5P.set_deflate","Set compression method and compression level"
"H5P.set_edc_check","Enable error detection for dataset transfer"
"H5P.set_external","Add additional file to external file list"
"H5P.set_family_offset","Set offset property for family of files"
"H5P.set_fapl_core","Modify file access to use H5FD_CORE driver"
"H5P.set_fapl_family","Set file access to use family driver"
"H5P.set_fapl_log","Set use of logging driver"
"H5P.set_fapl_multi","Set use of multifile driver"
"H5P.set_fapl_sec2","Set file access for sec2 driver"
"H5P.set_fapl_split","Set file access for emulation of split file driver"
"H5P.set_fapl_stdio","Set file access for standard I/O driver"
"H5P.set_fclose_degree","Set file access for file close degree"
"H5P.set_fill_time","Set time when fill values are written to dataset"
"H5P.set_fill_value","Set fill value for dataset creation property list"
"H5P.set_filter","Add filter to filter pipeline"
"H5P.set_fletcher32","Set Fletcher32 checksum filter in dataset creation"
"H5P.set_gc_references","Set garbage collection references flag"
"H5P.set_hyper_vector_size","Set number of I/O vectors for hyperslab I/O"
"H5P.set_istore_k","Set size of parameter for indexing chunked datasets"
"H5P.set_layout","Set type of storage for dataset"
"H5P.set_libver_bounds","Set library version bounds for objects"
"H5P.set_link_creation_order","Set creation order tracking and indexing"
"H5P.set_link_phase_change","Set parameters for group conversion"
"H5P.set_mdc_config","Set initial metadata cache configuration"
"H5P.set_meta_block_size","Set minimum metadata block size"
"H5P.set_multi_type","Specify type of data accessed with MULTI driver"
"H5P.set_nbit","Set N-Bit filter"
"H5P.set_scaleoffset","Set Scale-Offset filter"
"H5P.set_shuffle","Set shuffle filter"
"H5P.set_sieve_buf_size","Set maximum size of data sieve buffer"
"H5P.set_sizes","Set byte size of offsets and lengths"
"H5P.set_small_data_block_size","Set size of block reserved for small data"
"H5P.set_sym_k","Set size of parameters used to control symbol table nodes"
"H5P.set_userblock","Set user block size"
"H5R.create","Create reference"
"H5R.dereference","Open object specified by reference"
"H5R.get_name","Name of referenced object"
"H5R.get_obj_type","Type of referenced object"
"H5R.get_region","Copy of data space of specified region"
"h5read","Read data from HDF5 data set"
"h5readatt","Read attribute from HDF5 file"
"H5S.close","Close data space"
"H5S.copy","Create copy of data space"
"H5S.create","Create new data space"
"H5S.create_simple","Create new simple data space"
"H5S.extent_copy","Copy extent from source to destination data space"
"H5S.get_select_bounds","Bounding box of data space selection"
"H5S.get_select_elem_npoints","Number of element points in selection"
"H5S.get_select_elem_pointlist","Element points in data space selection"
"H5S.get_select_hyper_blocklist","List of hyperslab blocks"
"H5S.get_select_hyper_nblocks","Number of hyperslab blocks"
"H5S.get_select_npoints","Number of elements in data space selection"
"H5S.get_select_type","Type of data space selection"
"H5S.get_simple_extent_dims","Data space size and maximum size"
"H5S.get_simple_extent_ndims","Data space rank"
"H5S.get_simple_extent_npoints","Number of elements in data space"
"H5S.get_simple_extent_type","Data space class"
"H5S.is_simple","Determine if data space is simple"
"H5S.offset_simple","Set offset of simple data space"
"H5S.select_all","Select entire extent of data space"
"H5S.select_elements","Specify coordinates to include in selection"
"H5S.select_hyperslab","Select hyperslab region"
"H5S.select_none","Reset selection region to include no elements"
"H5S.select_valid","Determine validity of selection"
"H5S.set_extent_none","Remove extent from data space"
"H5S.set_extent_simple","Set size of data space"
"H5T.array_create","Create array data type object"
"H5T.close","Close data type"
"H5T.commit","Commit transient data type"
"H5T.committed","Determine if data type is committed"
"H5T.copy","Copy data type"
"H5T.create","Create new data type"
"H5T.detect_class","Determine of data type contains specific class"
"H5T.enum_create","Create new enumeration data type"
"H5T.enum_insert","Insert enumeration data type member"
"H5T.enum_nameof","Name of enumeration data type member"
"H5T.enum_valueof","Value of enumeration data type member"
"H5T.equal","Determine equality of data types"
"H5T.get_array_dims","Array dimension extents"
"H5T.get_array_ndims","Rank of array data type"
"H5T.get_class","Data type class identifier"
"H5T.get_create_plist","Copy of data type creation property list"
"H5T.get_cset","Character set of string data type"
"H5T.get_ebias","Exponent bias of floating-point type"
"H5T.get_fields","Floating-point data type bit field information"
"H5T.get_inpad","Internal padding type for floating-point data types"
"H5T.get_member_class","Data type class for compound data type member"
"H5T.get_member_index","Index of compound or enumeration type member"
"H5T.get_member_name","Name of compound or enumeration type member"
"H5T.get_member_offset","Offset of field of compound data type"
"H5T.get_member_type","Data type of specified member"
"H5T.get_member_value","Value of enumeration data type member"
"H5T.get_native_type","Native data type of dataset data type"
"H5T.get_nmembers","Number of elements in enumeration type"
"H5T.get_norm","Mantissa normalization type"
"H5T.get_offset","Bit offset of first significant bit"
"H5T.get_order","Byte order of atomic data type"
"H5T.get_pad","Padding type of least and most-significant bits"
"H5T.get_precision","Precision of atomic data type"
"H5T.get_sign","Sign type for integer data type"
"H5T.get_size","Size of data type in bytes"
"H5T.get_strpad","Storage mechanism for string data type"
"H5T.get_super","Base data type"
"H5T.get_tag","Tag associated with opaque data type"
"H5T.insert","Add member to compound data type"
"H5T.is_variable_str","Determine if data type is variable-length string"
"H5T.lock","Lock data type"
"H5T.open","Open named data type"
"H5T.pack","Recursively remove padding from compound data type"
"H5T.set_cset","Set character dataset for string data type"
"H5T.set_ebias","Set exponent bias of floating-point data type"
"H5T.set_fields","Set sizes and locations of floating-point bit fields"
"H5T.set_inpad","Specify how unused internal bits are to be filled"
"H5T.set_norm","Set mantissa normalization of floating-point data type"
"H5T.set_offset","Set bit offset of first significant bit"
"H5T.set_order","Set byte ordering of atomic data type"
"H5T.set_pad","Set padding type for least and most significant bits"
"H5T.set_precision","Set precision of atomic data type"
"H5T.set_sign","Set sign property for integer data type"
"H5T.set_size","Set size of data type in bytes"
"H5T.set_strpad","Set storage mechanism for string data type"
"H5T.set_tag","Tag opaque data type with description"
"H5T.vlen_create","Create new variable-length data type"
"h5write","Write to HDF5 data set"
"h5writeatt","Write HDF5 attribute"
"H5Z.filter_avail","Determine if filter is available"
"H5Z.get_filter_info","Information about filter"
"hadamard","Hadamard matrix"
"handle","Abstract class for derivinghandle classes"
"handle.addlistener","Create event listener"
"handle.notify","Notify listeners that event is occurring"
"hankel","Hankel matrix"
"hasdata","Determine if data is available to read"
"hasFrame","Determine if frame is available to read"
"hasnext","Determine if ValueIterator has one or more values available"
"hdf5info","Information about HDF5 file"
"hdf5read","Read HDF5 file"
"hdf5write","Write data to file in HDF5 format"
"hdfan","Gateway to HDF multifile annotation (AN) interface"
"hdfdf24","Gateway to HDF 24-bit raster image (DF24) interface"
"hdfdfr8","Gateway to HDF 8-bit raster image (DFR8) interface"
"hdfh","Gateway to HDF H interface"
"hdfhd","Gateway to HDF HD interface"
"hdfhe","Gateway to HDF HE interface"
"hdfhx","Gateway to HDF external data (HX) interface"
"hdfinfo","Information about HDF4 or HDF-EOS file"
"hdfml","Utilities for working with MATLAB HDF gateway functions"
"hdfpt","Interface to HDF-EOS Point object"
"hdfread","Read data from HDF4 or HDF-EOS file"
"hdftool","Browse and import data from HDF4 or HDF-EOS files"
"hdfv","Gateway to HDF Vgroup (V) interface"
"hdfvf","Gateway to VF functions in HDF Vdata interface"
"hdfvh","Gateway to VH functions in HDF Vdata interface"
"hdfvs","Gateway to VS functions in HDF Vdata interface"
"head","Get top rows of table, timetable, or tall array"
"heatmap","Create heatmap chart"
"height","Number of table rows"
"help","Help for functions in Command Window"
"helpbrowser","Open Help browser to access online documentation"
"helpdesk","Open Help browser"
"helpdlg","Create help dialog box"
"helpwin","Provide access to help comments for all functions"
"hess","Hessenberg form of matrix"
"hex2dec","Convert text representation of hexadecimal number to decimalnumber"
"hex2num","Convert IEEE hexadecimal string to double-precisionnumber"
"hgexport","Export figure"
"hggroup","Create group object"
"hgload","Load graphics object hierarchy from file"
"hgsave","Save graphics object hierarchy to file"
"hgtransform","Create transform object"
"hidden","Remove hidden lines from mesh plot"
"highlight","Highlight nodes and edges in plotted graph"
"hilb","Hilbert matrix"
"hist","Histogram plot (not recommended; use histogram)"
"histc","Histogram bin counts (not recommended; use histcounts)"
"histcounts","Histogram bin counts"
"histcounts2","Bivariate histogram bin counts"
"histogram","Histogram plot"
"histogram","Histogram bar plot for numeric data"
"histogram2","Bivariate histogram plot"
"histogram2","Histogram bar plot for bivariate data"
"hms","Hour, minute, and second numbers of duration"
"hold","Retain current plot when adding new plots"
"home","Send cursor home"
"horzcat","Concatenate arrays horizontally"
"horzcat (tscollection)","Horizontal concatenation for tscollection objects"
"hot","Hot colormap array"
"hour","Hour number"
"hours","Duration in hours"
"hsv","HSV colormap array"
"hsv2rgb","Convert HSV colormap to RGB colormap"
"hypot","Square root of sum of squares (hypotenuse)"
"i","Imaginary unit"
"ichol ","Incomplete Cholesky factorization"
"idealfilter","Apply ideal (noncausal) filter to timeseries object"
"idivide","Integer division with rounding option"
"if, elseif, else","Execute statements if condition is true"
"ifft","Inverse fast Fourier transform"
"ifft2","2-D inverse fast Fourier transform"
"ifftn","Multidimensional inverse fast Fourier transform"
"ifftshift","Inverse zero-frequency shift"
"ilu","Incomplete LU factorization"
"im2double","Convert image to double precision"
"im2frame","Convert image to movie frame"
"im2java","Convert image to Java image"
"imag","Imaginary part of complex number"
"image","Display image from array"
"ImageDatastore","Datastore for image data"
"imageDatastore","Create ImageDatastore object for collections of imagedata"
"imagesc","Display image with scaled colors"
"imapprox","Approximate indexed image by reducing number of colors"
"imfinfo","Information about graphics file"
"imformats","Manage image file format registry"
"imgCompress","Compress HDU from one file into another"
"import","Add package or class to current import list"
"importdata","Load data from file"
"imread","Read image from graphics file"
"imshow","Display image"
"imwrite","Write image to graphics file"
"incenter","Incenter of triangle or tetrahedron"
"incenters","(Not recommended) Incenters of specified simplices"
"incidence","Graph incidence matrix"
"ind2rgb","Convert indexed image to RGB image"
"ind2sub","Subscripts from linear index"
"indegree","In-degree of nodes"
"Inf","Infinity"
"info","Information about contacting MathWorks"
"inline","Construct inline object"
"inmem","Names of functions, MEX-files, classes in memory"
"innerjoin","Inner join between two tables or timetables"
"inOutStatus","(Not recommended) Status of triangles in 2-D constrainedDelaunay triangulation"
"inpolygon","Points located inside or on edge of polygonal region"
"input","Request user input"
"inputdlg","Create dialog box that gathers user input"
"inputname","Variable name of function input"
"inputParser","Parse function inputs"
"insertAfter","Insert string after specified substring"
"insertATbl","Insert ASCII table after current HDU"
"insertBefore","Insert string before specified substring"
"insertBTbl","Insert binary table after current HDU"
"insertCol","Insert column into table"
"insertImg","Insert FITS image after current image"
"insertRows","Insert rows into table"
"inShape","Determine if point is inside alpha shape"
"inspect","Open Property Inspector"
"instrcallback","Event information when event occurs"
"instrfind","Read serial port objects from memory to MATLAB workspace"
"instrfindall","Find visible and hidden serial port objects"
"int16","Convert to 16-bit signed integer"
"int2str","Convert integers to character array"
"int32","Convert to 32-bit signed integer"
"int64","Convert to 64-bit signed integer"
"int8","Convert to 8-bit signed integer"
"integral","Numerical integration"
"integral2","Numerically evaluate double integral"
"integral3","Numerically evaluate triple integral"
"interfaces","List custom interfaces exposed by COM server object"
"interp1","1-D data interpolation (table lookup)"
"interp1q","Quick 1-D linear interpolation"
"interp2","Interpolation for 2-D gridded data in meshgrid format"
"interp3","Interpolation for 3-D gridded data in meshgrid format"
"interpft","1-D interpolation (FFT method)"
"interpn","Interpolation for 1-D, 2-D, 3-D, and N-D gridded datain ndgrid format"
"interpstreamspeed","Interpolate stream-line vertices from flow speed"
"intersect","Set intersection of two arrays"
"intmax","Largest value of specified integer type"
"intmin","Smallest value of specified integer type"
"inv","Matrix inverse"
"invhilb","Inverse of Hilbert matrix"
"invoke","Invoke method on COM object or interface, or display methods"
"ipermute","Inverse permute dimensions of N-D array"
"iqr","Interquartile range of timeseries data"
"is*","Detect state"
"isa","Determine if input is object of specified class"
"isappdata","True if application-defined data exists"
"isaUnderlying","Determine if tall array data is of specified class"
"isbanded","Determine if matrix is within specific bandwidth"
"isbetween","Determine elements within date and time interval"
"iscalendarduration","Determine if input is calendar duration array"
"iscategorical","Determine whether input is categorical array"
"iscategory","Test for categorical array categories"
"iscell","Determine whether input is cell array"
"iscellstr","Determine if input is cell array of character vectors"
"ischar","Determine if input is character array"
"iscolumn","Determine whether inputis column vector"
"iscom","Determine whether input is COM or ActiveX object"
"isCompressedImg","Determine if current image is compressed"
"isConnected","Test if two vertices are connected by edge"
"isdag","Determine if graph is acyclic"
"isdatetime","Determine if input is datetime array"
"isdiag","Determine if matrix is diagonal"
"isdir","Determine whether input is a folder"
"isdst","Determine daylight saving time elements"
"isduration","Determine if input is duration array"
"isEdge","(Not recommended) Test if vertices are joined by edge"
"isempty","Determine whether array is empty"
"isempty (tscollection)","Determine whether tscollection objectis empty"
"isenum","Determine if variable is enumeration"
"isequal","Determine array equality"
"isequaln","Determine array equality, treating NaN values as equal"
"isequalwithequalnans","Test arrays for equality, treating NaNs as equal"
"isevent","Determine whether input is COM object event"
"isfield","Determine whether input is structure array field"
"isfinite","Array elements that are finite"
"isfloat","Determine if input is floating-point array"
"isgraphics","True for valid graphics object handles"
"ishandle","Test for valid graphics or Java object handle"
"ishermitian","Determine if matrix is Hermitian or skew-Hermitian"
"ishghandle","True for graphics object handles"
"ishold","Current hold state"
"isinf","Array elements that are infinite"
"isinteger","Determine if input is integer array"
"isinterface","Determine whether input is COM interface"
"isInterior","Test if triangle is in interior of 2-D constrained Delaunaytriangulation"
"isisomorphic","Determine whether two graphs are isomorphic"
"isjava","Determine if input is Java object"
"isKey","Determine if containers.Map objectcontains key"
"iskeyword","Determine whether input is MATLAB keyword"
"isletter","Determine which character array elements are letters"
"isLocked","Determine if System object is locked"
"islogical","Determine if input is logical array"
"ismac","Determine if version is for macOS platform"
"ismatrix","Determine whether inputis matrix"
"ismember","Array elements that are members of set array"
"ismembertol","Members of set within tolerance"
"ismethod","Determine if method of object"
"ismethod","Determine whether input is COM object method"
"ismissing","Find missing values"
"isnan","Array elements that are NaN"
"isnat","Determine NaT (Not-a-Time) elements"
"isnumeric","Determine if input is numeric array"
"isobject","Determine if input is MATLAB object"
"isocaps","Compute isosurface end-cap geometry"
"isocolors","Calculate isosurface and patch colors"
"isomorphism","Compute equivalence relation between two graphs"
"isonormals","Compute normals of isosurface vertices"
"isordinal","Determine whether input is ordinal categorical array"
"isosurface","Extract isosurface data from volume data"
"isoutlier","Find outliers in data"
"ispc","Determine if version is for Windows (PC) platform"
"ispref","Test for existence of preference"
"isprime","Determine which array elements are prime"
"isprop","Determine if property of object"
"isprop","Determine whether input is COM object property"
"isprotected","Determine whether categories of categorical array areprotected"
"isreal","Determine whether array is real"
"isregular","Determine whether times in timetable are regular"
"isrow","Determine whether inputis row vector"
"isscalar","Determine whether input is scalar"
"issorted","Determine if array is sorted"
"issortedrows","Determine if matrix or table rows are sorted"
"isspace","Determine which character array elements are space characters"
"issparse","Determine whether input is sparse"
"isstr","Determine whether input is character array"
"isstring","Determine if input is string array"
"isstrprop","Determine if string is of specified category"
"isstruct","Determine whether input is structure array"
"isstudent","Determine if version is Student Version"
"issymmetric","Determine if matrix is symmetric or skew-symmetric"
"istable","Determine whether input is table"
"istall","Determine if input is tall array"
"istimetable","Determine if input is timetable"
"istril","Determine if matrix is lower triangular"
"istriu","Determine if matrix is upper triangular"
"isundefined","Find undefined elements in categorical array"
"isunix","Determine if version is for Linux or Mac platforms"
"isvalid (serial)","Determine whether serial port objects are valid"
"isvarname","Determine if input is valid variable name"
"isvector","Determine whether input is vector"
"isweekend","Determine weekend elements"
"j","Imaginary unit"
"javaaddpath","Add entries to dynamic Java class path"
"javaArray","Construct Java array object"
"javachk","Error message based on Java feature support"
"javaclasspath","Return Java class path or specify dynamic path"
"javaMethod","Call Java method"
"javaMethodEDT","Call Java method from Event Dispatch Thread (EDT)"
"javaObject","Call Java constructor"
"javaObjectEDT","Call Java constructor on Event Dispatch Thread (EDT)"
"javarmpath","Remove entries from dynamic Java class path"
"jet","Jet colormap array"
"join","Combine strings, or merge two tables or timetables byrows using key variables"
"jsondecode","Decode JSON-formatted text"
"jsonencode","Encode structured MATLAB data as JSON-formatted text"
"juliandate","Convert MATLAB datetime to Julian date"
"keyboard","Input from keyboard"
"keys","Identify keys of containers.Map object"
"KeyValueDatastore","Datastore for key-value pair data"
"KeyValueStore","Store key-value pairs for use with mapreduce"
"kron","Kronecker tensor product"
"labeledge","Label graph edges"
"labelnode","Label graph nodes"
"lag","Time-shift data in timetable"
"laplacian","Graph Laplacian matrix"
"last","Return last uncaught exception"
"lasterr","Last error message"
"lasterror","Last error message and related information"
"lastwarn","Last warning message"
"layout","Change layout of graph plot"
